dataset,train_samples,test_samples,features,accuracy,precision,recall,f1_score,cv_f1_mean,cv_f1_std,improvement,baseline_avg
UCI,835,209,82,0.84688995215311,0.854305281921381,0.84688995215311,0.8487874821155492,0.8496252420204456,0.018179840288691834,4.363207547169815,0.8114832535885167
AI,328,82,26,0.7682926829268293,0.7384146341463415,0.7682926829268293,0.7408826945412311,0.7388271384631626,0.051795352064424545,11.307420494699658,0.6902439024390243
OU,23028,5757,54,0.6913322911238492,0.6689755849731879,0.6913322911238492,0.6706076660650814,0.4714236646089983,0.11007963858472063,9.286616508320078,0.6325864165363904
